rank_test_score,mean_test_score,std_test_score,param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__class_weight
1,0.6106615026464433,0.02206026023715288,gini,4,5,20,balanced
1,0.6106615026464433,0.02206026023715288,gini,4,5,2,balanced
1,0.6106615026464433,0.02206026023715288,gini,4,5,10,balanced
4,0.6104855427222138,0.022245389963246782,gini,4,10,2,balanced
4,0.6104855427222138,0.022245389963246782,gini,4,10,10,balanced
4,0.6104855427222138,0.022245389963246782,gini,4,10,20,balanced
7,0.6102800365747454,0.022466653643302904,gini,4,20,10,balanced
7,0.6102800365747454,0.022466653643302904,gini,4,20,2,balanced
7,0.6102800365747454,0.022466653643302904,gini,4,30,2,balanced
7,0.6102800365747454,0.022466653643302904,gini,4,30,10,balanced
7,0.6102800365747454,0.022466653643302904,gini,4,30,20,balanced
7,0.6102800365747454,0.022466653643302904,gini,4,20,20,balanced
13,0.6094287007362935,0.02119094340527906,entropy,4,30,20,balanced
13,0.6094287007362935,0.02119094340527906,entropy,4,30,2,balanced
13,0.6094287007362935,0.02119094340527906,entropy,4,30,10,balanced
16,0.6076104179584905,0.024126046800607513,entropy,4,20,10,balanced
16,0.6076104179584905,0.024126046800607513,entropy,4,20,20,balanced
16,0.6076104179584905,0.024126046800607513,entropy,4,20,2,balanced
16,0.6076104179584905,0.024126046800607513,entropy,4,5,10,balanced
16,0.6076104179584905,0.024126046800607513,entropy,4,10,10,balanced
16,0.6076104179584905,0.024126046800607513,entropy,4,10,2,balanced
16,0.6076104179584905,0.024126046800607513,entropy,4,5,20,balanced
16,0.6076104179584905,0.024126046800607513,entropy,4,10,20,balanced
16,0.6076104179584905,0.024126046800607513,entropy,4,5,2,balanced
25,0.606723509886368,0.017957794397956563,entropy,,30,10,balanced
25,0.606723509886368,0.017957794397956563,entropy,,30,20,balanced
25,0.606723509886368,0.017957794397956563,entropy,,30,2,balanced
28,0.6055746720437105,0.016307568977111733,gini,6,30,20,balanced
28,0.6055746720437105,0.016307568977111733,gini,6,30,10,balanced
28,0.6055746720437105,0.016307568977111733,gini,6,30,2,balanced
31,0.605457655761475,0.01774849899797576,gini,8,30,20,balanced
31,0.605457655761475,0.01774849899797576,gini,8,30,10,balanced
31,0.605457655761475,0.01774849899797576,gini,8,30,2,balanced
34,0.6053331866043122,0.016817469374155073,entropy,8,30,10,balanced
34,0.6053331866043122,0.016817469374155073,entropy,8,30,20,balanced
34,0.6053331866043122,0.016817469374155073,entropy,8,30,2,balanced
37,0.6048881142410911,0.01907865733882289,gini,,30,10,balanced
37,0.6048881142410911,0.01907865733882289,gini,,30,2,balanced
37,0.6048881142410911,0.01907865733882289,gini,,30,20,balanced
40,0.6043303875243996,0.018893432544947172,entropy,6,20,2,balanced
40,0.6043303875243996,0.018893432544947172,entropy,6,20,10,balanced
40,0.6043303875243996,0.018893432544947172,entropy,6,20,20,balanced
43,0.6041963179977536,0.028128225212838563,entropy,3,10,2,balanced
43,0.6041963179977536,0.028128225212838563,entropy,3,10,10,balanced
43,0.6041963179977536,0.028128225212838563,entropy,3,5,20,balanced
43,0.6041963179977536,0.028128225212838563,entropy,3,20,20,balanced
43,0.6041963179977536,0.028128225212838563,entropy,3,20,2,balanced
43,0.6041963179977536,0.028128225212838563,entropy,3,20,10,balanced
43,0.6041963179977536,0.028128225212838563,entropy,3,5,10,balanced
43,0.6041963179977536,0.028128225212838563,entropy,3,30,2,balanced
43,0.6041963179977536,0.028128225212838563,entropy,3,30,10,balanced
43,0.6041963179977536,0.028128225212838563,entropy,3,30,20,balanced
43,0.6041963179977536,0.028128225212838563,entropy,3,10,20,balanced
43,0.6041963179977536,0.028128225212838563,entropy,3,5,2,balanced
55,0.6039852003811218,0.011402285082642882,gini,5,20,10,balanced
55,0.6039852003811218,0.011402285082642882,gini,5,20,2,balanced
55,0.6039852003811218,0.011402285082642882,gini,5,20,20,balanced
58,0.6026798778231688,0.011889157941632745,gini,5,10,20,balanced
58,0.6026798778231688,0.011889157941632745,gini,5,10,10,balanced
58,0.6026798778231688,0.011889157941632745,gini,5,10,2,balanced
61,0.6023715905420023,0.012469992169073843,gini,5,5,10,balanced
61,0.6023715905420023,0.012469992169073843,gini,5,5,2,balanced
61,0.6023715905420023,0.012469992169073843,gini,5,5,20,balanced
64,0.6019820922439727,0.012720966663538915,gini,5,30,10,balanced
64,0.6019820922439727,0.012720966663538915,gini,5,30,2,balanced
64,0.6019820922439727,0.012720966663538915,gini,5,30,20,balanced
67,0.6017877567066927,0.01900608845321728,entropy,6,30,20,balanced
67,0.6017877567066927,0.01900608845321728,entropy,6,30,10,balanced
67,0.6017877567066927,0.01900608845321728,entropy,6,30,2,balanced
70,0.598963202195901,0.01976996628343339,entropy,8,20,10,balanced
70,0.598963202195901,0.01976996628343339,entropy,8,20,20,balanced
70,0.598963202195901,0.01976996628343339,entropy,8,20,2,balanced
73,0.598637344258427,0.020097013474133476,entropy,5,10,2,balanced
73,0.598637344258427,0.020097013474133476,entropy,5,10,10,balanced
73,0.598637344258427,0.020097013474133476,entropy,5,10,20,balanced
76,0.5976458343182072,0.019950653994094063,entropy,5,5,10,balanced
76,0.5976458343182072,0.019950653994094063,entropy,5,5,20,balanced
76,0.5976458343182072,0.019950653994094063,entropy,5,5,2,balanced
79,0.597628333109139,0.02811636467149949,gini,3,10,10,balanced
